Party,User,Hashtag
PP,jacintolajas,socialmedia
PP,KarimDiaz,socialmedia
PP,mpn54,CIE
PP,cronicahidalgo,LaPolíticaALEstiloHidalgo
PP,Valentinosras,PPcontraPP
PP,evimas,Titular
PP,SansaloniAntoni,crispación
PP,BlasRoal,violenciadegenero
PP,MrHastaLosEggs,PP
PP,MrHastaLosEggs,PSOE
PP,Jose_PP_Galvez,MundoArjona
PP,Jose_PP_Galvez,Viaje
PP,ReyPily,TS
PP,ReyPily,PP
PP,Diime_isaac,IsaacAcosta
PP,Esha_GD4L,pp
PP,bluesbcn,PP
PP,mj_belt,PPcontraPP
PP,daniel_hervas,tróspido
PP,daniel_hervas,socialmedia
PP,Sadeser,crispación
PP,GuillemBelmar,crispación
PP,MFerreCortes,ABC
PP,pereriutort,PPcontraPP
PP,San_Pin_5,Panrico6M
PP,estheralcazar2,Pinto
PP,estheralcazar2,Ebolinews
PP,NeusVichSalas,PPcontraPP
PP,UnionOficiales,LeyGC
PP,serrells,crispación
PP,wellmichael,PPcontraPP
PP,maglofer2007,PPcontraPP
PP,CesarCalderon,socialmedia
PP,rosermalagrida,PPcontraPP
PP,_EstebanMinaya,_EstebanMinaya
PP,CanelonDeMiel,PP
PP,1breidyDiaz,Dime_Breidy
PP,1breidyDiaz,Dime_Breidy
PP,twuiteradelnote,somos15M
PP,twuiteradelnote,SiSePuede
PP,twuiteradelnote,elpoderdelagente
PP,abroht,LeyGC
PP,pacoaiguablava,crispación
PP,JuanCarlosGaon4,MeMeo
PP,JuanCarlosGaon4,SoisLaPolla
PP,ToniK10,crispación
PP,Cordobesdel72,socialmedia
PP,Jexweber,socialmedia
PP,ApacheCoyotero,crispación
PP,veinteytres,Badalona
PP,Macon_inMotion,PPcontraPP
PP,LaurinePierotMP,PP
PP,El_Dr_Ed,Subnormales
PP,El_Dr_Ed,Podemos
PP,CabanasJJ,socialmedia
PP,Rogonblanq,RosaDíezEP
PP,Rogonblanq,EuroUPyD
PP,alexdono,socialmedia
PP,martalatita,somos15M
PP,martalatita,SiSePuede
PP,martalatita,elpoderdelagente
PP,anaaldea,socialmedia
PP,yolandapolot,CIS
PP,AdaugMt,Panrico6M
PP,rafaeltmoros,DeJuzgadoDeGuardia
PP,AritzAlvarez,Penoso
PP,tararot2,crispación
PP,melaportafluixa,crispación
PP,Oficialhonesto1,LeyGC
PP,nurlov,Melilla
PP,NNGG_Badajoz,MonagoCumple
PP,albert_casas_,crispación
PP,Etherwalk,PP
PP,CallesDeFuego,GonzálezPons
PP,CallesDeFuego,PP
PP,Cistrico,MeMeo
PP,Cistrico,SoisLaPolla
PP,tuitPoliticaEs,ABC
PP,hectormgarrido,CIS
PP,Rogonblanq,RosaDiezEP
PP,veoufos,PPcontraPP
PP,tuitEspania,ABC
PP,Montserratesben,crispación
PP,mmcasals,PP
PP,mmcasals,PSOE
PP,MahCBG,PP
PP,MahCBG,REALLY
PP,viav7,Mundo
PP,6Morpheus,PPcontraPP
PP,carfrapi,PP
PP,bruselles,AlternativasAlBipartidismo
PP,JAVIERGC1979,PPcontraPP
PP,ampamahf,PPruïna
PP,outlyer,crispación
PP,PriskaEden,PP
PP,cambiotorrejon,gemarubio
PP,cambiotorrejon,comPPlice
PP,luciajesus56,Titular
PP,fvilacabanas,crispación
PP,everian777,EPA
PP,everian777,INEM
PP,everian777,Rajoy
PP,everian777,PP
PP,no_dhont,PP
PP,ComplotdlGarraf,crispación
PP,joantorta,crispación
PP,Evagaycal,PPcontraPP
PP,oriolrama,PPcontraPP
PP,alsant,crispación
PP,nacho_leiva,PPcontraPP
PP,MartinNatale18,MeMeo
PP,MartinNatale18,SoisLaPolla
PP,Dime_Miloko,HenkilBernardRzb
PP,Dime_Miloko,Frankliin_x7
PP,Dime_Miloko,Frankliin_x7
PP,Dime_Miloko,Franklin_x7
PP,Dime_Miloko,ROBIN_ALVAREZ01
PP,Guerrero_x5,Guerrero_x5
PP,_4_Fun,pecado
PP,_4_Fun,paliza
PP,_4_Fun,PP
PP,karelortiz,noticias
PP,Dime_Miloko,ROBIN_ALVAREZ01
PP,PP_Bonares,Málaga
PP,PP_Bonares,Andalucia
PP,CBretxa,crispación
PP,vampyCATman,PP
PP,vampyCATman,PSOE
PP,ROBIN_ALVAREZ01,ROBIN_ALVAREZ01
PP,raulmolto,MeMeo
PP,raulmolto,SoisLaPolla
PP,TeresaCodines,crispación
PP,MickeyDelDembow,ROBIN_ALVAREZ01
PP,Dime_Miloko,ROBIN_ALVAREZ01
PP,danilo_starz_,starz
PP,Franklin_x8,Frankliin_x7
PP,Franklin_x8,Frankliin_x7
PP,Franklin_x8,Franklin_x7
PP,MickeyDelDembow,HenkilBernardRzb
PP,TeloAmoErick,Johan_Stars_07
PP,gregorithesul2i,Johan_Stars_07
PP,Manito01Privon,Johan_Stars_07
PP,anglimadys1,Madyy
PP,AlanYaelRD,Johan_Stars_07
PP,Manitto03,Johan_Stars_07
PP,ronny_tejada,Johan_Stars_07
PP,Jeffry_x6,Johan_Stars_07
PP,THU_MORENIT0,Johan_Stars_07
PP,Doblek321,Johan_Stars_07
PP,jocker20a,CastaPolítica
PP,niiqkiitahgiirl,Johan_Stars_07
PP,manahuri345,Johan_Stars_07
PP,JosePeluche34,Johan_Stars_07
PP,GansterStars,Johan_Stars_07
PP,torrenteforever,España
PP,joselehattori,crispación
PP,Ovii_Starz,ovii_starz
PP,Ovii_Starz,ovii_starz
PP,jamc64,MeMeo
PP,jamc64,SoisLaPolla
PP,Ampa_Oviedo,Pons
PP,Ampa_Oviedo,PP
PP,DonaldTutaBueno,TeamExotic
PP,DonaldTutaBueno,TeamExotic
PP,Esteveaf71,crispación
PP,MPAlcala,PPcontraPP
PP,Marta_mcc,PPcontraPP
PP,DonaldTutaBueno,TeamExotic
PP,Thu_FosforitOh,Team
PP,DmYeferson,Team
PP,DonaldTutaBueno,TeamExotic
PP,DonaldTutaBueno,TeamExotic
PP,Dime_Miloko,Buby
PP,Dime_Miloko,Buby
PP,luisito2402,Actualiizate
PP,luisito2402,Luisito2402
PP,luisito2402,Actualiizate
PP,luisito2402,luisito2402
PP,DaniieliToh_x,DaniieliToh_x
PP,SenyiRauxa,crispación
PP,OlleMoreno,Menol_Te_Ama
PP,OlleMoreno,Menol_Te_Ama
PP,albertpons_,crispación
PP,OlleMoreno,BullsNigga
